iter	Passed	Remaining
0	1	1608
1	2	1071
2	2	892
3	3	825
4	3	764
5	4	722
6	5	723
7	5	696
8	6	675
9	6	670
10	7	657
11	7	655
12	8	646
13	9	640
14	9	620
15	10	616
16	10	615
17	11	611
18	11	607
19	12	592
20	13	608
21	13	605
22	14	601
23	15	622
24	15	619
25	16	613
26	16	608
27	17	603
28	17	599
29	18	596
30	18	593
31	19	589
32	19	585
33	20	582
34	21	584
35	21	578
36	22	575
37	22	574
38	23	572
39	23	570
40	24	568
41	24	563
42	25	561
43	25	560
44	26	556
45	26	553
46	27	551
47	27	549
48	28	548
49	28	546
50	29	545
51	29	544
52	30	542
53	30	541
54	31	538
55	31	537
56	32	545
57	33	544
58	33	540
59	34	540
60	34	538
61	35	536
62	35	534
63	36	534
64	37	533
65	37	531
66	37	527
67	38	524
68	38	523
69	39	522
70	39	521
71	40	520
72	40	519
73	41	518
74	41	517
75	42	516
76	43	515
77	43	514
78	44	513
79	44	512
80	45	513
81	45	512
82	46	514
83	47	514
84	47	514
85	48	513
86	48	511
87	49	509
88	49	507
89	50	505
90	50	503
91	51	510
92	52	508
93	52	506
94	53	504
95	53	502
96	53	501
97	54	499
98	54	497
99	55	496
100	55	494
101	55	492
102	56	491
103	56	489
104	57	489
105	57	487
106	58	486
107	58	485
108	59	483
109	59	482
110	60	480
111	60	479
112	60	477
113	61	476
114	61	474
115	62	473
116	62	473
117	63	475
118	64	474
119	64	474
120	65	473
121	65	472
122	66	474
123	66	472
124	67	471
125	67	471
126	68	472
127	69	472
128	70	477
129	71	476
130	71	475
131	72	475
132	72	474
133	73	473
134	73	472
135	74	471
136	74	471
137	75	470
138	75	469
139	76	470
140	77	470
141	77	469
142	78	468
143	78	468
144	79	467
145	79	467
146	80	466
147	80	465
148	81	464
149	81	464
150	82	465
151	83	465
152	83	464
153	84	463
154	84	462
155	85	462
156	85	461
157	86	460
158	86	460
159	87	459
160	88	458
161	88	458
162	89	457
163	89	456
164	90	456
165	90	455
166	91	454
167	91	454
168	92	454
169	92	453
170	93	452
171	93	452
172	94	451
173	95	451
174	95	451
175	95	449
176	96	448
177	96	447
178	97	446
179	97	446
180	98	445
181	98	444
182	99	444
183	100	443
184	100	443
185	101	442
186	101	442
187	102	441
188	102	441
189	104	445
190	105	444
191	105	444
192	106	443
193	106	442
194	107	442
195	107	441
196	108	440
197	108	440
198	109	439
199	109	438
200	110	437
201	110	437
202	111	436
203	111	435
204	112	435
205	112	434
206	113	433
207	113	433
208	114	432
209	114	431
210	115	431
211	115	430
212	116	430
213	116	429
214	117	428
215	117	428
216	118	427
217	118	426
218	119	426
219	120	425
220	120	425
221	121	425
222	121	424
223	122	424
224	122	423
225	123	422
226	123	421
227	124	421
228	124	420
229	125	420
230	125	419
231	126	418
232	127	418
233	127	418
234	128	417
235	128	416
236	129	416
237	129	415
238	130	414
239	130	414
240	131	413
241	131	413
242	132	412
243	132	411
244	133	412
245	134	411
246	134	410
247	135	409
248	135	408
249	136	408
250	136	407
251	137	406
252	137	406
253	138	405
254	138	404
255	139	404
256	139	403
257	140	403
258	140	402
259	141	401
260	141	400
261	142	400
262	142	399
263	143	398
264	143	398
265	144	397
266	144	397
267	145	396
268	145	396
269	146	396
270	147	395
271	147	395
272	148	394
273	148	394
274	149	393
275	149	392
276	150	392
277	150	391
278	151	390
279	151	390
280	152	390
281	153	389
282	153	388
283	154	388
284	154	387
285	155	387
286	155	386
287	156	386
288	156	385
289	157	384
290	157	384
291	158	383
292	158	383
293	159	382
294	159	382
295	160	381
296	160	380
297	161	379
298	161	379
299	162	378
300	162	377
301	163	377
302	163	376
303	164	376
304	164	375
305	165	375
306	166	375
307	166	374
308	166	373
309	167	372
310	167	371
311	168	371
312	169	372
313	170	372
314	170	371
315	171	370
316	172	371
317	172	370
318	173	369
319	173	369
320	174	368
321	174	368
322	175	367
323	176	367
324	176	366
325	177	366
326	177	365
327	178	366
328	179	365
329	179	365
330	180	364
331	180	364
332	181	363
333	182	363
334	182	362
335	183	361
336	183	361
337	184	361
338	185	361
339	185	360
340	186	360
341	187	359
342	187	359
343	188	359
344	188	358
345	189	357
346	189	357
347	190	356
348	191	356
349	191	355
350	192	355
351	192	354
352	193	354
353	194	354
354	195	354
355	195	353
356	196	353
357	196	352
358	198	353
359	198	353
360	199	352
361	199	352
362	200	351
363	201	351
364	201	351
365	202	350
366	202	349
367	203	349
368	205	351
369	206	350
370	206	350
371	207	349
372	207	349
373	208	348
374	208	347
375	209	347
376	209	346
377	210	346
378	210	345
379	211	344
380	211	344
381	212	343
382	213	343
383	213	342
384	214	342
385	214	341
386	215	341
387	216	341
388	216	340
389	217	340
390	217	339
391	218	338
392	218	338
393	219	337
394	220	337
395	220	336
396	221	335
397	221	335
398	222	334
399	222	334
400	223	333
401	223	332
402	224	332
403	224	331
404	225	330
405	225	330
406	226	330
407	227	329
408	227	328
409	228	328
410	228	327
411	229	327
412	229	326
413	230	326
414	231	326
415	232	326
416	232	325
417	233	324
418	233	324
419	234	323
420	235	323
421	235	322
422	236	322
423	236	321
424	237	320
425	237	320
426	238	319
427	238	319
428	239	318
429	239	317
430	240	317
431	240	316
432	241	316
433	241	315
434	242	314
435	242	314
436	243	313
437	243	313
438	244	312
439	245	311
440	245	311
441	246	310
442	246	310
443	247	309
444	247	308
445	248	308
446	248	307
447	249	307
448	250	306
449	251	306
450	252	306
451	252	306
452	253	306
453	253	305
454	254	304
455	255	304
456	255	303
457	256	303
458	256	302
459	257	302
460	258	301
461	258	301
462	259	300
463	259	299
464	260	299
465	260	298
466	261	298
467	261	297
468	262	296
469	262	296
470	263	296
471	264	295
472	264	295
473	265	294
474	265	293
475	266	293
476	266	292
477	267	291
478	267	291
479	268	290
480	268	290
481	269	289
482	270	289
483	271	289
484	271	288
485	272	288
486	272	287
487	273	286
488	274	286
489	275	286
490	276	286
491	276	285
492	277	285
493	277	284
494	278	284
495	279	283
496	279	282
497	280	282
498	281	282
499	282	282
500	282	281
501	283	281
502	283	280
503	284	279
504	285	279
505	285	278
506	286	278
507	286	277
508	288	278
509	288	277
510	289	276
511	289	276
512	290	275
513	290	275
514	291	274
515	292	274
516	292	273
517	293	273
518	294	272
519	295	272
520	295	271
521	296	271
522	296	270
523	297	269
524	297	269
525	298	268
526	298	268
527	299	267
528	299	266
529	300	266
530	300	265
531	301	265
532	301	264
533	302	263
534	302	263
535	303	262
536	304	262
537	304	261
538	305	261
539	307	262
540	308	261
541	308	261
542	309	260
543	310	259
544	310	259
545	311	258
546	312	258
547	313	258
548	313	257
549	314	256
550	314	256
551	315	255
552	315	255
553	316	254
554	316	254
555	317	253
556	318	253
557	319	253
558	320	252
559	321	252
560	322	252
561	323	251
562	323	251
563	324	250
564	325	250
565	325	249
566	326	249
567	326	248
568	328	248
569	328	248
570	329	247
571	330	247
572	331	246
573	331	246
574	332	245
575	333	245
576	333	244
577	334	244
578	334	243
579	335	242
580	336	242
581	337	242
582	339	242
583	339	242
584	340	241
585	340	240
586	341	240
587	342	239
588	344	240
589	344	239
590	345	238
591	345	238
592	346	237
593	346	237
594	347	236
595	347	235
596	349	236
597	350	235
598	351	234
599	351	234
600	352	233
601	352	233
602	353	232
603	353	232
604	354	231
605	355	231
606	355	230
607	356	229
608	357	229
609	357	228
610	358	228
611	358	227
612	359	226
613	360	226
614	360	225
615	361	225
616	362	224
617	362	224
618	363	223
619	364	223
620	364	222
621	365	221
622	365	221
623	366	220
624	366	219
625	367	219
626	367	218
627	368	218
628	368	217
629	369	217
